,geoid10,population,supermarket
0,080310001021000,,1653.5
1,080310001021001,90.0,1162.4
2,080310001021002,,863.2
3,080310001021003,,1268.2
4,080310001021004,33.0,1345.6
5,080310001021005,32.0,1027.9
6,080310001021006,36.0,876.6
7,080310001021007,30.0,749.7
8,080310001021008,38.0,653.8
9,080310001021009,29.0,517.8
10,080310001021010,35.0,325.4
11,080310001021011,41.0,418.2
12,080310001021012,39.0,735.1
13,080310001021013,26.0,831.3
14,080310001021014,33.0,938.0
15,080310001021015,34.0,1006.6
16,080310001021016,45.0,1126.3
17,080310001021017,16.0,1277.9
18,080310001021018,42.0,447.1
19,080310001021019,49.0,323.7
20,080310001021020,40.0,578.9
21,080310001021021,15.0,709.1
22,080310001021022,44.0,730.9
23,080310001021023,51.0,875.7
24,080310001021024,23.0,520.6
25,080310001021025,21.0,442.9
26,080310001022000,,998.4
27,080310001022001,23.0,762.4
28,080310001022002,22.0,867.6
29,080310001022003,24.0,894.5
30,080310001022004,33.0,881.7
31,080310001022005,32.0,982.1
32,080310001022006,42.0,1079.6
33,080310001022007,25.0,1178.1
34,080310001022008,37.0,1274.2
35,080310001022009,,1125.8
36,080310001022010,52.0,918.5
37,080310001022011,38.0,822.1
38,080310001022012,43.0,712.2
39,080310001022013,32.0,762.4
40,080310001022014,49.0,655.0
41,080310001022015,79.0,548.2
42,080310001022016,30.0,383.0
43,080310001022017,32.0,475.2
44,080310001022018,47.0,516.5
45,080310001022019,62.0,616.4
46,080310001022020,57.0,715.7
47,080310001022021,53.0,815.0
48,080310001022022,37.0,916.3
49,080310001022023,45.0,726.1
50,080310001022024,51.0,621.9
51,080310001022025,64.0,521.8
52,080310001022026,57.0,422.2
53,080310001022027,58.0,323.0
54,080310001022028,19.0,262.1
55,080310001022029,26.0,206.7
56,080310001022030,50.0,171.5
57,080310001022031,56.0,364.8
58,080310001022032,64.0,345.6
59,080310001022033,44.0,152.3
60,080310001023000,,1712.9
61,080310001023001,,1604.5
62,080310001023002,,1771.1
63,080310001023003,56.0,1226.1
64,080310001023004,50.0,1261.3
65,080310001023005,68.0,1339.9
66,080310001023006,59.0,1245.2
67,080310001023007,70.0,1142.8
68,080310001023008,50.0,950.3
69,080310001023009,49.0,1050.5
70,080310001023010,46.0,1146.0
71,080310001023011,57.0,1058.4
72,080310001023012,45.0,1023.2
73,080310001023013,54.0,1032.9
74,080310001023014,51.0,1218.5
75,080310001023015,53.0,1120.0
76,080310001023016,60.0,1019.4
77,080310001023017,53.0,830.6
78,080310001023018,63.0,935.5
79,080310002011000,237.0,2140.3
80,080310002011001,37.0,1916.3
81,080310002011002,64.0,1816.2
82,080310002011003,32.0,1736.4
83,080310002011004,58.0,1618.1
84,080310002011005,57.0,1517.8
85,080310002011006,62.0,1419.3
86,080310002011007,50.0,1227.7
87,080310002011008,71.0,1326.4
88,080310002011009,73.0,1426.8
89,080310002011010,17.0,1527.2
90,080310002011011,16.0,1639.0
91,080310002011012,,1207.2
92,080310002011013,56.0,1124.4
93,080310002011014,42.0,1081.2
94,080310002011015,49.0,1184.0
95,080310002011016,77.0,1283.5
96,080310002011017,54.0,1323.0
97,080310002011018,51.0,1421.6
98,080310002011019,31.0,1566.1
